Nmsg,Time,Ax,Ay,Az,Gx,Gy,Gz,Gfx,Gfy,Gfz,Roll,Pitch,Heading,Alt,Latitude,Longitude,Arsp,Presion,SBUS_Flags,Flight_Mode,Interruptor_1,Interruptor_2,Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Canal_9,Canal_10,Canal_11,Canal_12,Canal_13,Canal_14,Canal_15,Canal_16,OUT_1,OUT_2,OUT_3,OUT_4,OUT_5,OUT_6,OUT_7,OUT_8,OUT_9,OUT_10
18318,182967,0.0088893175,0.38017303,9.759033,0.0042471066,-0.0067517157,0.0043171244,0.0,0.0,0.0,2.332725,-0.1605834,-55.25393,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18319,182977,0.017366022,0.3928517,9.783862,0.0071724127,-0.0036765141,0.0041210554,0.0,0.0,0.0,2.3325012,-0.16237271,-55.25359,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18320,182987,0.012365043,0.41326836,9.788799,0.0071996534,-0.0031831188,0.003344894,0.0,0.0,0.0,2.3319144,-0.16153665,-55.255707,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18321,182997,0.0390127,0.3884373,9.7672205,0.0065635955,-0.003411958,0.0033225112,0.0,0.0,0.0,2.3331873,-0.15976292,-55.25461,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18322,183007,0.0390127,0.3884373,9.7672205,0.0065635955,-0.003411958,0.0033225112,0.0,0.0,0.0,2.3331873,-0.15976292,-55.25461,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18323,183017,-0.007126093,0.37850285,9.768959,0.005527431,-0.0053368914,0.003693472,0.0,0.0,0.0,2.331224,-0.16154614,-55.255733,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18324,183027,-0.007126093,0.37850285,9.768959,0.005527431,-0.0053368914,0.003693472,0.0,0.0,0.0,2.331224,-0.16154614,-55.255733,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18325,183037,0.043251663,0.39708537,9.733793,0.0062115,-0.0035609857,0.0040761447,0.0,0.0,0.0,2.3342924,-0.15894863,-55.255375,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18326,183047,0.043251663,0.39708537,9.733793,0.0062115,-0.0035609857,0.0040761447,0.0,0.0,0.0,2.3342924,-0.15894863,-55.255375,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18327,183057,0.015821844,0.39110938,9.79843,0.007259699,-0.004852904,0.003965754,0.0,0.0,0.0,2.3314626,-0.16232479,-55.255478,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
18328,183067,0.015821844,0.39110938,9.79843,0.007259699,-0.004852904,0.003965754,0.0,0.0,0.0,2.3314626,-0.16232479,-55.255478,1731,0.0,0.0,0,83381,0,0,0,0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1000,1500,1500,1500
